Date checked	WJA 	Comments
7/3/24	7038	good- clean and good survivors
		
7/3/24	3189	good- clean and good survivors
		
7/3/24	7036	great- clean and great survivors
		
7/3/24	5061	ok- some contamination but great survivors
		
7/3/24	5063	ok- some contamination but great survivors
		
7/3/24	5064	good- clean and good survivors
		
7/3/24	5065	good- clean and good survivors
		
7/3/24	3192	good- clean and good survivors
		
7/15/24	2106	ok- some contamination
		
7/15/24	3188	ok- some contamination so pick hets quickly
		
7/15/24	0639	ok- some contamination
		
7/15/24	7041	ok- some contamination
		
7/15/24	7039	ok- some contamination
		
8/9/24	0908	ok- somewhat reduced survivors but give time to grow and ok
		
8/9/24	7042	ok- somewhat reduced survivors but give time to grow and ok
		
8/9/24	7043	ok- somewhat reduced survivors but give time to grow and ok
		
8/9/24	7045	ok- some contamination
		
8/9/24	7046	ok- limited survivors but ok enough. MAKE SURE TO SPOT ONTO MEDIA DUE TO UNC-119
		
8/12/24	7044	ok- limited survivors but ok enough
		
8/20/24	5068	ok- limited survivors but ok enough
		
8/23/24	3195	ok- limited survivors but ok enough
		
8/26/24	3190	ok- limited survivors but ok enough
		
8/26/24	1004	ok- limited survivors but ok enough
		
8/26/24	3203	ok- limited survivors but ok enough
		
8/26/24	3204	ok- limited survivors but ok enough
		
8/26/24	3205	ok- limited survivors but ok enough
		
9/5/24	7047	ok- limited survivors but ok enough
		
9/5/24	7052	ok- limited survivors but ok enough
		
9/5/24	7055	ok- limited survivors but ok enough
		
9/5/24	7056	ok- limited survivors but ok enough
		
9/5/24	7049	ok- limited survivors but ok enough
		
9/5/24	0936	ok- limited survivors but ok enough
		
9/5/24	0937	great- clean and good survivors
		
9/5/24	7048	ok- limited survivors but ok enough
		
9/5/24	7050	ok- limited survivors but ok enough
		
9/5/24	7037	ok- limited survivors but ok enough. MAKE SURE TO SPOT ONTO MEDIA DUE TO UNC-119
		
9/3/24	0438	ok- some contamination
		
9/10/24	7040	ok- some contamination
		
9/10/24	7054	ok- limited survivors but ok enough
		
9/10/24	3200	ok- some contamination
		
9/12/24	7057	ok- some contamination
		
9/12/24	7059	good- clean and ok survivors
		
9/12/24	7060	great- clean and good survivors
		
9/12/24	7061	great- clean and good survivors
		
9/13/24	7058	great- clean and good survivors
		
9/13/24	0935	ok- some contamination
		
9/16/24	0938	ok- some contamination
		
9/16/24	0940	good- some contam but good survivors
		
9/16/24	0941	good- some contam but good survivors
		
9/16/24	3185	ok- limited survivors but ok enough, some contam
		
10/2/24	0939	ok- some contamination
		
10/2/24	3193	ok- limited survivors but ok enough
		
10/2/24	3194	ok- limited survivors but ok enough
		
10/2/24	7053	ok- limited survivors but survival issues so ok enough
