WJA	Who requested	# tubes	Tank	Rack-Box	Cap color	When thawed
0934	EV	1	JA2	6-2	blue	6/26/24
0903	JAA	1	JA1	5-4	orange	6/26/24
0908	JAA	1	JA2	5-3	yellow	6/26/24
0909	JAA	1	JA2	5-3	brown	6/26/24
0885	MM	1	JA2	6-4	brown	6/26/24
0916	MJV	1	JA2	5-3	white	7/12/24
0917	MJV	1	JA1	5-3	brown	7/13/24
0919	MJV	1	JA1	5-3	blue	7/14/24
0027	EV	1	JA1	5-5	red	7/23/24
6114	EV	1	JA1	2-4	orange	7/23/24
6110	MM	1	JA1	2-4	pink	7/23/24
5057	MM	1	JA2	5-3	red	7/23/24
5062	MM	1	JA1	5-4	blue	7/23/24
4001	JAA	1	JA1	5-7	brown	8/9/24
0890	JAA	1	JA2	2-3	pink	8/9/24
0889	JAA	1	JA1	4-2	yellow	8/9/24
4008	JAA	1	JA1	5-7	blue	8/9/24
0891	JAA	1	JA2	2-4	white	8/9/24
1004	CW	1	JA1	4-1	white	2/2/24
1086	CW	1	JA2	6-4	purple	2/2/24
1009	CW	1	JA2	6-3	yellow	8/14/24
6128	EV	1	JA2	1-3	brown	8/14/24
1004	CW	1	JA2	3-3	white	8/14/24
1086	CW	1	JA1	5-4	pink	8/14/24
6130	MM	1	JA1	5-4	orange	8/21/24
3143	CW	1	JA1	1-6	pink	8/21/24
0085	CW	1	JA1	1-1	blue	9/11/24
5063	MM	1	JA2	3-2	green	10/2/24
5068	MM	1	JA1	1-5	green	10/2/24
